-0.1,-0.07,0.03
-0.08,-0.07,0.023
-0.15,0.0,0.025
-0.15,-0.07,0.03
-0.155,0.01,0.025
-0.16,0.02,0.025
-0.165,0.03,0.025
-0.13,-0.04,0.025
-0.15,0.06,0.025
-0.15,0.17,0.06
-0.12,0.2,0.025
-0.196,0.1,0.06
-0.2,0.0,0.04
-0.2,0.09,0.06
-0.2,0.08,0.06
-0.2,0.07,0.065
-0.2,0.07,0.06
-0.2,0.06,0.06
-0.2,0.05,0.06
-0.2,0.04,0.06
-0.2,0.03,0.06
-0.205,0.05,0.06
-0.16,-0.05,0.04
-0.17,0.17,0.05
-0.15,0.12,0.03
-0.143,0.16,0.04
-0.15,0.2,0.044
-0.2,0.15,0.035
-0.21,0.14,0.033
-0.12,-0.07,0.033
-0.18,-0.03,0.043
-0.1,0.25,0.03
-0.1,0.23,0.03
-0.13,0.235,0.027
-0.06,0.26,0.025
-0.06,0.268,0.025
-0.07,0.268,0.023
-0.05,0.268,0.023
-0.04,0.268,0.023
-0.04,0.272,0.023
-0.03,0.273,0.021
-0.02,0.275,0.019
-0.02,0.278,0.02
-0.015,0.28,0.02
-0.015,0.28,0.02
-0.012,0.28,0.02
-0.011,0.28,0.02
-0.01,0.28,0.02
-0.009,0.28,0.02
-0.008,0.28,0.02
-0.007,0.28,0.02
-0.006,0.28,0.02
-0.005,0.28,0.02
0.0,0.28,0.015
0.005,0.285,0.015
0.0075,0.285,0.015
0.01,0.285,0.015
0.015,0.285,0.015
0.02,0.285,0.015
0.03,0.285,0.012
0.04,0.285,0.012
0.05,0.285,0.01
0.06,0.28,0.012
0.07,0.28,0.012
0.08,0.275,0.012
0.09,0.276,0.01
0.1,0.275,0.01
0.11,0.27,0.01
0.12,0.265,0.01
0.13,0.255,0.01
0.14,0.245,0.01
0.15,0.235,0.01
-0.2,0.0,0.05
-0.2,-0.015,0.045
-0.15,0.075,0.025
-0.1,0.2,0.02
-0.08,0.21,0.02
-0.22,0.17,0.01
-0.215,0.177,0.012
-0.225,0.165,0.01
-0.125,0.225,0.045
