cuda:0
Using device: cuda:0

1 Number of Devices Exists

Episode 212	Average Score: -72.44
Episode 213	Average Score: -72.37
Episode 214	Average Score: -72.17
Episode 215	Average Score: -72.21
Episode 216	Average Score: -72.19
Episode 217	Average Score: -72.17
Episode 218	Average Score: -71.83
Episode 219	Average Score: -71.74
Episode 220	Average Score: -71.59
Episode 221	Average Score: -71.31
Episode 222	Average Score: -71.40
Episode 223	Average Score: -71.32
Episode 224	Average Score: -71.30
Episode 225	Average Score: -71.10
Episode 226	Average Score: -70.78
Episode 227	Average Score: -70.58
Episode 228	Average Score: -70.35
Episode 229	Average Score: -70.17
Episode 230	Average Score: -70.00
Episode 231	Average Score: -70.17
Episode 232	Average Score: -70.11
Episode 233	Average Score: -69.94
Episode 234	Average Score: -69.75
Episode 235	Average Score: -69.73
Episode 236	Average Score: -69.57
Episode 237	Average Score: -69.46
Episode 238	Average Score: -69.26
Episode 239	Average Score: -69.11
Episode 240	Average Score: -68.95
Episode 241	Average Score: -68.78
Episode 242	Average Score: -68.65
Episode 243	Average Score: -68.46
Episode 244	Average Score: -68.37
Episode 245	Average Score: -68.35
Episode 246	Average Score: -68.77
Episode 247	Average Score: -68.60
Episode 248	Average Score: -68.37
Episode 249	Average Score: -68.82Initial Position is [-0.21956943  0.13434426]
===============================================================
Target Position is [-0.19116679  0.16121307]
===============================================================
Initial Kappas are  [9.476329569816539, 0.5527054781266436, 12.955713175111924]
===============================================================
Goal Kappas are  [6.874835849387708, 1.3289239846563223, 15.886217784732093]
===============================================================

Episode 250	Average Score: -68.68
Episode 250	Average Score: -68.68

Episode 251	Average Score: -68.78
Episode 252	Average Score: -68.92
Episode 253	Average Score: -68.57
Episode 254	Average Score: -68.55
Episode 255	Average Score: -67.61
Episode 256	Average Score: -67.06
Episode 257	Average Score: -66.39
Episode 258	Average Score: -65.74
Episode 259	Average Score: -65.51
Episode 260	Average Score: -64.70
Episode 261	Average Score: -64.42
Episode 262	Average Score: -64.03
Episode 263	Average Score: -63.60
Episode 264	Average Score: -63.71
Episode 265	Average Score: -63.58
Episode 266	Average Score: -62.96
Episode 267	Average Score: -63.23
Episode 268	Average Score: -63.65
Episode 269	Average Score: -62.99
Episode 270	Average Score: -63.27
Episode 271	Average Score: -63.25
Episode 272	Average Score: -63.22
Episode 273	Average Score: -63.24
Episode 274	Average Score: -63.13
Episode 275	Average Score: -62.51
Episode 276	Average Score: -62.03
Episode 277	Average Score: -61.90
Episode 278	Average Score: -61.58
Episode 279	Average Score: -60.53
Episode 280	Average Score: -60.44
Episode 281	Average Score: -60.43
Episode 282	Average Score: -60.33
Episode 283	Average Score: -60.49
Episode 284	Average Score: -60.49
Episode 285	Average Score: -60.13
Episode 286	Average Score: -59.81
Episode 287	Average Score: -59.60
Episode 288	Average Score: -59.61
Episode 289	Average Score: -60.04
Episode 290	Average Score: -59.51
Episode 291	Average Score: -59.09
Episode 292	Average Score: -59.31
Episode 293	Average Score: -59.18
Episode 294	Average Score: -59.37
Episode 295	Average Score: -59.25
Episode 296	Average Score: -59.15
Episode 297	Average Score: -58.98
Episode 298	Average Score: -58.31
Episode 299	Average Score: -58.34
Episode 300	Average Score: -58.05
Episode 301	Average Score: -57.31
Episode 302	Average Score: -57.33
Episode 303	Average Score: -57.28
Episode 304	Average Score: -57.02
Episode 305	Average Score: -57.15
Episode 306	Average Score: -56.76
Episode 307	Average Score: -56.73
Episode 308	Average Score: -56.92
Episode 309	Average Score: -56.73
Episode 310	Average Score: -56.54
Episode 311	Average Score: -56.58
Episode 312	Average Score: -56.24
Episode 313	Average Score: -56.34
Episode 314	Average Score: -56.40
Episode 315	Average Score: -56.32
Episode 316	Average Score: -56.13
Episode 317	Average Score: -56.12
Episode 318	Average Score: -56.05
Episode 319	Average Score: -56.00
Episode 320	Average Score: -55.74
Episode 321	Average Score: -55.80
Episode 322	Average Score: -55.73
Episode 323	Average Score: -55.84
Episode 324	Average Score: -55.87
Episode 325	Average Score: -55.78
Episode 326	Average Score: -55.57
Episode 327	Average Score: -55.38
Episode 328	Average Score: -55.38
Episode 329	Average Score: -55.54
Episode 330	Average Score: -55.60
Episode 331	Average Score: -55.48
Episode 332	Average Score: -55.55
Episode 333	Average Score: -55.36
Episode 334	Average Score: -55.36
Episode 335	Average Score: -55.17
Episode 336	Average Score: -55.31
Episode 337	Average Score: -55.34
Episode 338	Average Score: -54.84
Episode 339	Average Score: -54.29
Episode 340	Average Score: -54.31
Episode 341	Average Score: -53.76
Episode 342	Average Score: -53.26
Episode 343	Average Score: -52.72
Episode 344	Average Score: -52.50
Episode 345	Average Score: -52.33
Episode 346	Average Score: -52.33
Episode 347	Average Score: -52.30
Episode 348	Average Score: -52.35
Episode 349	Average Score: -52.27
Episode 350	Average Score: -52.15
Episode 351	Average Score: -52.23
Episode 352	Average Score: -52.18
Episode 353	Average Score: -52.18
Episode 354	Average Score: -52.05
Episode 355	Average Score: -52.10
Episode 356	Average Score: -52.14
Episode 357	Average Score: -52.17
Episode 358	Average Score: -52.18
Episode 359	Average Score: -52.08
Episode 360	Average Score: -52.09
Episode 361	Average Score: -51.99
Episode 362	Average Score: -52.03
Episode 363	Average Score: -51.81
Episode 364	Average Score: -51.45
Episode 365	Average Score: -51.09
Episode 366	Average Score: -51.03
Episode 367	Average Score: -51.10
Episode 368	Average Score: -51.20
Episode 369	Average Score: -51.20
Episode 370	Average Score: -51.30
Episode 371	Average Score: -51.43
Episode 372	Average Score: -51.16
Episode 373	Average Score: -50.96
Episode 374	Average Score: -51.09
Episode 375	Average Score: -51.13
Episode 376	Average Score: -51.12
Episode 377	Average Score: -51.37
Episode 378	Average Score: -51.34
Episode 379	Average Score: -51.38
Episode 380	Average Score: -51.07
Episode 381	Average Score: -50.79
Episode 382	Average Score: -49.98
Episode 383	Average Score: -50.06
Episode 384	Average Score: -50.20
Episode 385	Average Score: -50.14
Episode 386	Average Score: -50.17
Episode 387	Average Score: -49.44
Episode 388	Average Score: -49.22
Episode 389	Average Score: -48.75
Episode 390	Average Score: -48.48
Episode 391	Average Score: -48.62
Episode 392	Average Score: -48.72
Episode 393	Average Score: -48.75
Episode 394	Average Score: -48.52
Episode 395	Average Score: -48.53
Episode 396	Average Score: -47.94
Episode 397	Average Score: -47.05
Episode 398	Average Score: -46.14
